web-scraper-order,web-scraper-start-url,pag,Data,Hora,Casa,Fora,Golos(Casa-Fora),Jornada
1668124850-104,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/20/2022,18:00,Sporting,Estoril Praia,Mar-00,J23
1668124850-105,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/20/2022,20:00,Moreirense,FC Porto,0-1,J23
1668124850-106,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/20/2022,20:45,CD Tondela,SC Braga,0-1,J23
1668124850-107,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/21/2022,20:15,Santa Clara,Portimonense,1-Jan,J23
1668124850-108,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/25/2022,20:15,B SAD,Paços de Ferreira,0-2,J24
1668124850-109,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/26/2022,15:30,FC Famalicão,CD Tondela,1-Feb,J24
1668124850-110,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/26/2022,18:00,Marítimo,Sporting,1-Jan,J24
1668124850-111,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/26/2022,20:30,FC Arouca,Moreirense,1-Jan,J24
1668124850-112,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/27/2022,15:30,FC Vizela,Portimonense,1-Jan,J24
1668124850-113,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/27/2022,18:00,Benfica,Vitória SC,Mar-00,J24
1668124850-114,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/27/2022,18:00,Estoril Praia,Boavista,3-Feb,J24
1668124850-115,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/27/2022,20:30,FC Porto,Gil Vicente,1-Jan,J24
1668124850-116,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/28/2022,20:15,SC Braga,Santa Clara,0-0,J24
1668124850-117,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/4/2022,20:15,Gil Vicente,Estoril Praia,0-0,J25
1668124850-118,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/5/2022,15:30,Boavista,SC Braga,1-Jan,J25
1668124850-119,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/5/2022,18:00,Portimonense,Benfica,2-Jan,J25
1668124850-120,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/5/2022,20:30,Sporting,FC Arouca,Feb-00,J25
1668124850-121,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/6/2022,15:30,Moreirense,Marítimo,0-1,J25
1668124850-122,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/6/2022,18:00,Paços de Ferreira,FC Porto,4-Feb,J25
1668124850-123,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/6/2022,20:30,Santa Clara,FC Vizela,1-Mar,J25
1668124850-124,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/6/2022,20:30,Vitória SC,FC Famalicão,1-Feb,J25
1668124850-125,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/7/2022,20:15,CD Tondela,B SAD,1-Jan,J25
1668124850-126,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/11/2022,20:15,Benfica,FC Vizela,1-Jan,J26
1668124850-127,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/12/2022,15:30,Estoril Praia,Portimonense,Feb-00,J26
1668124850-128,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/12/2022,15:30,FC Famalicão,Santa Clara,0-0,J26
1668124850-129,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/12/2022,18:00,FC Arouca,Paços de Ferreira,0-1,J26
1668124850-130,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/12/2022,20:30,B SAD,Boavista,0-0,J26
1668124850-131,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/13/2022,15:30,Marítimo,Vitória SC,0-1,J26
1668124850-132,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/13/2022,18:00,FC Porto,CD Tondela,Apr-00,J26
1668124850-133,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/13/2022,20:30,SC Braga,Gil Vicente,0-1,J26
1668124850-134,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,3/14/2022,20:15,Moreirense,Sporting,0-2,J26
